name,job_role,attendance,department,Post,Equity(in %),Experience(in years),nClients,test_scores(out of 100),skills,salary(in rs)
Ishana Dalal,Accountant,87,Finance and Accounting,Manager/Supervisor,0.78,11.8,9,69,"ERP (Enterprise Resource Planning) System Proficiency} , {Time Management and Organization} , {Analytical and Critical Thinking} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Adaptability and Flexibility} , {Continuous Learning and Keeping up with Regulatory Changes} , {Auditing and Internal Controls} , {Teamwork and Collaboration} , {Budgeting and Forecasting} , {Cost Accounting} , {Attention to Detail} , {Financial Analysis and Reporting} , {Business Acumen and Strategic Thinking} , {Financial Statement Preparation",162000
Lopa Mannan,Financial Analyst,93,Finance and Accounting,Manager/Supervisor,0.66,10.0,3,92,"Problem Solving and Decision Making} , {Analytical and Critical Thinking} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Adaptability and Flexibility} , {Auditing and Internal Controls} , {Cash Flow Management} , {Ethical Conduct and Professionalism} , {Cost Accounting} , {Attention to Detail} , {Business Acumen and Strategic Thinking} , {Financial Statement Preparation",148000
Aryabhata Chatterjee Mukherjee,HR Generalist,75,Human Resources (HR),Manager/Supervisor,1.42,8.8,22,90,"Time Management and Organization} , {Recruitment and Selection} , {Confidentiality and Trustworthiness} , {Employee Engagement and Retention} , {Empathy and Emotional Intelligence} , {Business Acumen and Strategic Thinking} , {Performance Management} , {Leadership and Team Management} , {Problem Solving and Decision Making} , {Employee Onboarding and Offboarding} , {HRIS (Human Resources Information System) Management",139000
Jarita Rana Verma,Legal Assistant,91,Legal and Compliance,Manager/Supervisor,0.58,9.0,11,77,"Mergers and Acquisitions} , {Time Management and Organization} , {Problem Solving and Decision Making} , {Employment Law and Labor Regulations} , {Regulatory Compliance} , {Attention to Detail} , {Risk Assessment and Management} , {Contract Drafting and Review} , {Intellectual Property Rights} , {Communication and Negotiation Skills} , {Continuous Learning and Staying Updated with Legal Developments} , {Adaptability and Flexibility} , {Corporate Governance",117000
Kum Dixit,Digital Marketer,84,Sales and Marketing,Senior/Lead,0.43,7.1,28,42,"Sales Forecasting and Planning} , {Social Media Marketing} , {Creativity and Innovation} , {Product/Service Positioning and Branding} , {Sales Analytics and Reporting} , {Digital Marketing and Analytics} , {Strategic Thinking and Planning} , {Communication and Interpersonal Skills} , {Customer Relationship Management (CRM)} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making} , {Leadership and Mentoring",111000
Janisha Reddy Rao,Warehouse Manager,81,Operations,Manager/Supervisor,0.61,11.6,33,51,"Customer Focus} , {Data Analysis and Reporting} , {Quality Control and Assurance} , {Logistics and Transportation} , {Problem Solving and Decision Making} , {Analytical Thinking} , {Strategic Thinking} , {Continuous Improvement Mindset} , {Leadership and Team Management} , {Inventory Management} , {Time Management and Prioritization} , {Lean Six Sigma} , {Adaptability and Flexibility} , {Cost Analysis and Budgeting",232000
Ashok Zacharia,Call Center Supervisor,87,Customer Support,Manager/Supervisor,0.7,10.0,19,75,"Continuous Learning and Skill Enhancement} , {Ticketing Systems and CRM Software} , {Product Knowledge} , {Time Management and Organization} , {Patience and Resilience} , {Empathy and Customer Focus} , {Quality Assurance and Call Monitoring} , {Technical Documentation and FAQ Creation} , {Knowledge Base and Self-Service Platforms} , {Multi-Channel Support (Phone, Chat, Email)} , {Remote Desktop and Screen Sharing} , {Adaptability and Flexibility} , {Communication and Active Listening} , {Communication Tools (e.g., Live Chat, Email)",122000
Jaladhi Dhillon,Customer Service Representative,90,Customer Support,Manager/Supervisor,0.73,9.3,16,90,"Continuous Learning and Skill Enhancement} , {Ticketing Systems and CRM Software} , {Empathy and Customer Focus} , {Time Management and Organization} , {Quality Assurance and Call Monitoring} , {Positive Attitude and Professionalism} , {Teamwork and Collaboration} , {Conflict Resolution and Diplomacy} , {Problem Solving and Critical Thinking} , {Knowledge Base and Self-Service Platforms} , {Communication and Active Listening} , {Multi-Channel Support (Phone, Chat, Email)} , {Troubleshooting and Problem Solving",119000
Nameen Bajwa,Systems Analyst,79,Information Technology (IT),Manager/Supervisor,0.8,10.6,54,85,"System Administration} , {Customer Service and Relationship Management} , {Database Management} , {Vendor Management and Contract Negotiation} , {Problem Solving and Critical Thinking} , {IT Governance and Compliance} , {Cloud Computing} , {Leadership and Team Management} , {IT Project Management} , {Cybersecurity and Data Protection",152000
Tej Gupta,Tax Specialist,93,Finance and Accounting,Manager/Supervisor,0.74,10.3,6,30,"Communication and Presentation Skills} , {Analytical and Critical Thinking} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Adaptability and Flexibility} , {Attention to Detail} , {Cash Flow Management} , {Ethical Conduct and Professionalism} , {Financial Modeling} , {Financial Statement Preparation",138000
Dharma Singh Ahuja,Quality Control Analyst,90,Quality Assurance (QA),Director/Head,1.91,13.4,187,48,"Root Cause Analysis} , {Time Management and Organization} , {Regulatory Compliance} , {Defect Tracking and Management} , {Teamwork and Interpersonal Skills} , {Statistical Process Control (SPC)} , {Continuous Learning and Quality Mindset} , {Process Improvement} , {Test Planning and Execution} , {Attention to Detail} , {Test Automation} , {Documentation and Standardization} , {Leadership and Mentoring} , {Risk Assessment and Mitigation} , {Communication and Collaboration} , {Critical Thinking} , {Quality Management Systems (QMS)} , {Adaptability and Flexibility} , {Validation and Verification",273000
Banhi Sharma Gupta,Auditor,75,Finance and Accounting,Manager/Supervisor,1.15,8.4,7,38,"Communication and Presentation Skills} , {ERP (Enterprise Resource Planning) System Proficiency} , {Problem Solving and Decision Making} , {Time Management and Organization} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Auditing and Internal Controls} , {Teamwork and Collaboration} , {Ethical Conduct and Professionalism} , {Cost Accounting} , {Financial Modeling} , {Attention to Detail} , {Business Acumen and Strategic Thinking} , {Adaptability and Flexibility",131000
Darsh Kohli,Brand Manager,85,Sales and Marketing,Entry Level/Junior,0.49,0.7,2,93,"Social Media Marketing} , {Product/Service Positioning and Branding} , {Digital Marketing and Analytics} , {Sales Funnel Management} , {Market Research and Analysis} , {Advertising and Promotions",105000
Jagachandra Sengupta Das,Warehouse Manager,86,Operations,Manager/Supervisor,1.03,11.9,36,46,"Supply Chain Management} , {Data Analysis and Reporting} , {Quality Control and Assurance} , {Logistics and Transportation} , {Analytical Thinking} , {Adaptability and Flexibility} , {Risk Management} , {Leadership and Team Management} , {Production Planning and Control} , {Time Management and Prioritization} , {Lean Six Sigma} , {Problem Solving and Decision Making} , {Negotiation and Conflict Resolution",235000
Banjeet Jha,Customer Support Specialist,56,Customer Support,Manager/Supervisor,0.83,9.9,17,34,"Continuous Learning and Skill Enhancement} , {Ticketing Systems and CRM Software} , {Product Knowledge} , {Empathy and Customer Focus} , {Patience and Resilience} , {Positive Attitude and Professionalism} , {Teamwork and Collaboration} , {Problem Solving and Critical Thinking} , {Customer Data Management} , {Knowledge Base and Self-Service Platforms} , {Conflict Resolution and Diplomacy} , {Communication and Active Listening} , {Remote Desktop and Screen Sharing} , {Troubleshooting and Problem Solving",114000
Eshana Gill,Cybersecurity Analyst,70,Information Technology (IT),Manager/Supervisor,0.52,11.6,54,38,"IT Service Management} , {IT Risk Assessment and Mitigation} , {Programming and Software Development} , {Database Management} , {Vendor Management and Contract Negotiation} , {Problem Solving and Critical Thinking} , {IT Governance and Compliance} , {Communication and Collaboration} , {IT Project Management} , {Cybersecurity and Data Protection} , {Analytical and Data Interpretation Skills",153000
Shyla Thakur,Auditor,87,Finance and Accounting,Manager/Supervisor,1.11,10.4,6,71,"ERP (Enterprise Resource Planning) System Proficiency} , {Time Management and Organization} , {Analytical and Critical Thinking} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Continuous Learning and Keeping up with Regulatory Changes} , {Auditing and Internal Controls} , {Attention to Detail} , {Budgeting and Forecasting} , {Teamwork and Collaboration} , {Financial Modeling} , {Financial Analysis and Reporting} , {Business Acumen and Strategic Thinking} , {Financial Statement Preparation",151000
Anandita Goswami,Auditor,89,Finance and Accounting,Manager/Supervisor,0.99,12.0,6,71,"Communication and Presentation Skills} , {Time Management and Organization} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Continuous Learning and Keeping up with Regulatory Changes} , {Adaptability and Flexibility} , {Auditing and Internal Controls} , {Ethical Conduct and Professionalism} , {Budgeting and Forecasting} , {Cost Accounting} , {Financial Statement Preparation",161000
Jaya Khurana,Systems Analyst,85,Information Technology (IT),Senior/Lead,0.81,7.5,21,35,"IT Service Management} , {IT Risk Assessment and Mitigation} , {Programming and Software Development} , {Customer Service and Relationship Management} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {IT Troubleshooting and Support} , {Leadership and Team Management} , {Cloud Computing} , {Continuous Learning and Professional Development} , {IT Project Management} , {Adaptability and Flexibility} , {Analytical and Data Interpretation Skills",117000
Jeladi Arya,Regulatory Affairs Specialist,77,Legal and Compliance,Manager/Supervisor,1.07,8.2,21,48,"Mergers and Acquisitions} , {Legal Writing and Documentation} , {Litigation and Dispute Resolution} , {Regulatory Compliance} , {Teamwork and Collaboration} , {Attention to Detail} , {Risk Assessment and Management} , {Contract Drafting and Review} , {Ethical Conduct and Professionalism} , {Communication and Negotiation Skills} , {Problem Solving and Decision Making} , {Corporate Governance",108000
Anupa Singh,Project Manager,93,Project Management,Manager/Supervisor,0.74,11.4,59,60,"Quality Management} , {Project Monitoring and Control} , {Resource Allocation and Management} , {Stakeholder Engagement} , {Continuous Improvement and Learning} , {Project Planning and Scheduling} , {Risk Management} , {Budgeting and Financial Management} , {Contract and Procurement Management} , {Stakeholder Management} , {Leadership and Team Management} , {Time Management and Prioritization} , {Problem Solving and Decision Making} , {Conflict Resolution} , {Change Management} , {Presentation and Public Speaking",159000
Shanti Mukherjee,Supply Chain Manager,82,Operations,Manager/Supervisor,1.22,9.0,57,84,"Supply Chain Management} , {Process Optimization and Efficiency} , {Quality Control and Assurance} , {Data Analysis and Reporting} , {Communication and Collaboration} , {Customer Focus} , {Analytical Thinking} , {Risk Management} , {Continuous Improvement Mindset} , {Leadership and Team Management} , {Inventory Management} , {Time Management and Prioritization} , {Problem Solving and Decision Making} , {Production Planning and Control} , {Negotiation and Conflict Resolution",288000
